book_id,major_category,genre,keyword,book_uniqueness_az,book_creativity_az,book_intelligence_az,book_structure_az,book_style_az,in_house_review,expected_chapters,expected_number_of_pages,weeks_spent_writing,cover_art,series_number,language,flesch_kincaid_reading_level,number_of_authors,previous_books,previous_sales,gender,expected_release_month,award_flg,advance_amount,import_decision,ad_budget,sales
8499637,Non-Fiction,Scientific,easy_reading,D,F,A,A,E,52,20,437,55,,0,english,26.49,1,0,0,male,dec,0,90149,1,42298,374474
1150172,Fiction,Mystery,crime,E,C,D,D,A,52,5,109,46,Landscape,0,english,71.52,1,7,1285705,,may,0,237175,1,39837,448707
2357749,Fiction,Science Fiction,NA,D,C,D,E,A,55,25,646,87,Animal|Person (photograph)|Landscape,0,chinese,28.23,3,1,177159,,aug,0,20340,1,46180,295203
2785715,Non-Fiction,Scientific,space,E,F,A,B,A,60,18,503,NA,Scientific|Illustration,1,english,15.5,1,3,461724,male,march,0,68507,1,48682,256593
9197499,Fiction,Science Fiction,NA,A,B,E,C,B,54,11,240,182,Animal,0,english,42.37,1,0,0,male,sep,0,109820,1,58248,493908
2084652,Non-Fiction,Scientific,easy_reading,E,D,B,A,E,51,13,291,54,,1,spanish,18.58,3,0,0,,apr,0,12279,1,49427,291080
4015259,Young Adult,Science Fiction,political,C,B,E,D,C,55,9,176,30,Scientific,0,english,77.04,1,0,0,female,dec,0,57299,1,43528,232364
6715803,Non-Fiction,Reference,NA,D,E,B,A,D,60,10,253,60,Scientific,0,english,36.91,1,1,1224009,male,jul,0,175992,1,44198,453217
3433943,Children,Fairytales/Folklore,funny,B,A,F,D,B,57,2,22,57,Illustration,1,english,96.79,1,0,0,,jun,0,13769,1,46106,143805
3560801,Young Adult,Adventure,contemporary,D,C,E,A,B,62,NA,123,41,,1,english,88.48,1,4,752553,,apr,1,168056,1,43527,604240
9728878,Children,Picture Books,NA,B,A,E,E,D,55,2,21,44,Scientific,2,english,92.39,1,1,129759,female,march,0,60552,1,48999,115794
2685079,Fiction,Humor,foreign,A,C,D,E,B,68,6,127,125,Abstract art|Landscape,0,english,53.82,1,0,0,male,aug,0,101902,1,61817,239473
5160937,Non-Fiction,Text-Book,NA,E,E,B,A,D,61,27,590,62,Landscape,0,english,8.75,1,0,0,female,jul,0,39322,1,27965,301279
5089604,Fiction,Humor,easy_reading,D,C,C,B,C,54,8,172,169,,0,english,39.36,1,0,0,male,nov,0,110418,1,28717,229558
1201335,Fiction,Humor,NA,C,C,D,A,C,65,7,191,15,Illustration,0,english,69.67,1,0,0,male,jun,0,59264,1,52462,506461
6552162,Young Adult,Adventure,magic,B,B,F,B,A,71,4,90,65,,2,chinese,89.03,2,1,146509,,oct,0,69203,1,21962,557184
2774786,Children,Fairytales/Folklore,NA,A,A,E,D,B,72,2,29,75,,1,english,98.61,1,0,0,male,nov,0,46211,1,33070,158159
4334838,Non-Fiction,Scientific,space,F,E,A,A,D,57,14,325,96,,0,english,52.6,1,0,0,female,jul,0,58168,1,43692,314722
6441359,Fiction,Mystery,crime,D,C,C,C,A,67,12,248,30,Landscape,0,spanish,31.83,1,3,432724,male,march,0,190899,1,44580,445595
2997152,Fiction,Science Fiction,foreign,B,B,F,B,A,72,26,605,66,Animal,1,english,35.41,1,1,1118336,female,dec,0,211436,1,32309,368378
8666004,Fiction,Fantasy,pirate,B,B,D,A,B,74,9,205,152,,2,english,67.34,1,1,150669,,nov,0,51912,1,48857,344575
1410720,Fiction,Science Fiction,NA,C,B,D,A,B,68,27,719,192,Abstract art,1,english|chinese,20.44,2,4,1738481,,dec,0,154688,1,42883,611396
9054504,Fiction,Mystery,future,C,A,E,C,D,53,12,243,70,Landscape,0,english|spanish,32.95,1,0,0,female,aug,0,102228,1,49752,577630
8842594,Fiction,Humor,space,C,D,B,D,A,67,11,327,91,,0,english,7,1,0,0,male,march,0,67553,1,51455,205838
6716977,Fiction,Historical Fiction,political,B,A,E,C,B,66,8,182,100,,0,english,70.08,1,0,0,male,nov,0,110147,1,47812,571705
6993834,Non-Fiction,Scientific,NA,E,E,A,A,E,57,16,462,47,,0,english,29.73,5,0,0,,oct,0,10000,1,50448,360180
8595941,Non-Fiction,History,NA,E,D,A,A,F,55,14,362,36,Person (photograph),0,english,24,4,0,0,,may,0,10000,1,49451,382783
3125514,Non-Fiction,Scientific,space,F,F,A,A,D,56,11,244,121,Animal|Person (photograph)|Landscape,0,english,70.6,3,9,2371824,,oct,0,292505,1,45477,681799
6757337,Fiction,Historical Fiction,crime,C,E,D,A,B,64,15,380,155,Animal,0,spanish,9.94,1,1,158997,female,march,0,141146,1,39556,364912
7094039,Fiction,Mystery,space,B,B,D,C,C,67,30,754,26,Animal|Landscape,0,english,19.03,1,1,223644,male,jul,0,129104,1,40217,483607
6797841,Children,Rythmic,funny,A,A,C,E,D,64,NA,31,56,Illustration|Person (photograph),0,english,85.08,1,0,0,female,march,0,64130,1,51293,119282
9927169,Non-Fiction,History,NA,E,D,B,B,D,50,11,313,35,Person (photograph),0,english,29.17,2,0,0,,march,0,16707,1,48810,299714
4097231,Fiction,Horror,future,B,B,A,C,B,83,9,200,21,Animal|Landscape,0,english,41.01,1,3,599679,female,sep,0,146145,1,46050,453050
8449582,Children,Rythmic,NA,B,A,E,F,D,59,3,38,20,,1,english,84.31,1,1,144644,female,jun,1,59319,1,44556,192587
8829715,Children,Rythmic,pop-up,A,A,F,D,C,56,3,33,57,,1,english,89.55,1,0,0,female,oct,0,39120,1,45473,85962
2552467,Fiction,Horror,ww2,B,B,C,C,A,75,10,279,123,Animal,0,english,28.99,3,0,0,,apr,0,27823,1,47099,222068
1107997,Non-Fiction,Scientific,easy_reading,D,E,A,A,F,51,8,168,108,,0,english,75.95,1,0,0,male,nov,0,50717,1,48408,444462
2819617,Non-Fiction,History,political,E,F,A,A,E,49,22,520,66,,1,english,23.18,1,0,0,,sep,0,10027,1,44060,301420
8168971,Non-Fiction,Instructional,NA,E,E,A,A,D,52,11,311,105,,0,english,19.4,1,1,103206,female,feb,0,46506,1,45817,392003
7884351,Children,Picture Books,NA,A,A,E,D,C,57,2,18,66,Illustration,0,english,90.06,1,1,127350,female,dec,0,84582,1,44915,140857
3751027,Non-Fiction,Reference,NA,E,F,A,A,F,54,20,461,69,Landscape,0,english,26.57,1,1,208841,,jan,0,44939,1,67719,169170
4737147,Young Adult,Horror,NA,D,D,D,A,A,60,6,115,19,,1,spanish,90.84,1,0,0,female,dec,0,46765,1,48120,235946
9697113,Fiction,Mystery,sci-fi,D,B,C,C,B,66,7,185,108,Illustration|Landscape,1,english,51.27,1,1,200795,,may,1,45498,1,41940,510248
1819694,Fiction,Mystery,future,C,D,B,C,A,68,11,262,79,Landscape,0,english,23.28,1,0,0,male,sep,0,109947,1,42965,351254
2806401,Children,Picture Books,NA,A,A,F,D,C,61,2,22,19,Scientific|Animal,0,english,87.87,1,3,1542233,female,nov,0,139103,1,45187,435450
5403666,Non-Fiction,Reference,space,D,F,A,A,D,52,22,557,31,Abstract art|Landscape,1,english|spanish,17.75,2,1,184769,,sep,0,30830,1,43894,147378
3867860,Fiction,Humor,ww2,C,A,D,A,C,75,7,158,16,Animal|Abstract art,0,english,50.48,1,0,0,female,march,0,63406,1,47089,195373
4377807,Fiction,Horror,pirate,B,B,B,C,A,72,14,274,32,,1,english,21.51,1,1,160181,male,nov,0,105772,1,49748,429024
3349864,Fiction,Humor,contemporary,B,C,E,C,B,62,7,163,93,,0,english|spanish,74.51,1,1,218998,,sep,0,80414,1,44600,164244
7289213,Fiction,Fantasy,future,B,B,D,A,A,77,14,367,165,,2,english,27.96,1,1,170866,male,sep,1,107187,1,50013,418497
4106990,Children,Fairytales/Folklore,NA,A,A,F,D,C,58,3,35,64,Animal,3,english,86.46,1,2,346309,,may,0,57064,1,46308,61699
1724522,Fiction,Mystery,NA,D,A,D,C,C,56,7,188,60,,1,english,52.67,2,2,313475,,dec,1,48528,1,31385,232078
3267081,Non-Fiction,Reference,NA,C,E,A,B,F,54,18,450,NA,,0,english|spanish,43.59,5,0,0,,feb,0,10000,1,27147,264214
7390411,Young Adult,Mystery,romance,C,C,F,C,C,51,8,217,46,,0,english,73.79,1,0,0,female,dec,0,26053,1,48927,419483
4835780,Fiction,Historical Fiction,crime,B,B,D,B,A,81,28,674,191,Scientific,0,english,37.07,1,0,0,male,may,0,90531,1,40979,593744
2093977,Fiction,Fantasy,sci-fi,A,B,B,C,D,77,15,245,152,Landscape,1,english,59.77,1,1,151827,male,dec,0,105431,1,37146,353624
1997944,Fiction,Romance,magic,E,D,C,C,A,49,3,71,115,,0,english|spanish,73.39,1,1,176707,male,aug,0,97486,1,48338,222314
4692121,Children,Rythmic,NA,B,A,E,F,C,54,NA,27,65,Scientific|Illustration,1,english,86.47,1,0,0,male,oct,0,44191,1,43927,177511
4337748,Children,Picture Books,magic,A,A,D,F,B,65,3,33,22,Illustration,1,english,89.53,1,0,0,female,jan,0,41289,1,39206,70629
8928031,Fiction,Science Fiction,NA,A,C,D,C,B,75,13,308,65,,1,chinese,75.92,1,6,2085375,female,may,0,220451,1,50330,673420
3030238,Young Adult,Mystery,NA,D,A,F,C,A,54,7,156,31,,5,english,92.22,1,5,1837645,male,dec,0,315990,1,46718,841811
2972622,Non-Fiction,Scientific,political,D,E,A,A,F,56,14,337,81,Person (photograph),1,english,50.81,3,1,170029,,oct,0,53774,1,46524,281479
1106794,Fiction,Fantasy,NA,C,D,C,B,C,63,19,513,NA,,1,english,45.98,1,3,541563,female,nov,0,190896,1,50675,618173
7685033,Fiction,Fantasy,political,E,C,E,B,B,62,22,613,134,Abstract art,0,english|spanish,49.11,1,7,1304034,,jun,0,160911,1,40848,535541
5123031,Fiction,Humor,sea,B,D,C,C,B,68,11,264,40,Landscape,0,english,65.69,1,0,0,male,jun,0,134843,1,42869,468305
1554598,Young Adult,Historical Fiction,NA,C,B,F,C,C,61,13,309,47,,0,english,40.93,1,1,147456,female,dec,0,117471,1,44552,245848
2114158,Children,Fairytales/Folklore,NA,C,A,E,E,D,57,3,33,58,,5,english,96.82,1,4,665692,female,jul,0,141094,1,26489,188262
7861993,Non-Fiction,Text-Book,easy_reading,E,F,D,B,C,49,13,365,91,,1,spanish,45.44,1,0,0,male,dec,0,46927,1,80884,730520
7412315,Fiction,Science Fiction,NA,C,B,C,C,A,76,8,174,133,,1,english,53.76,1,0,0,female,jul,0,64468,1,49892,496860
1621569,Fiction,Science Fiction,foreign,D,C,D,C,A,57,10,268,31,,1,english,30.84,1,4,1779086,male,oct,1,363310,1,54924,686308
9857285,Fiction,Humor,crime,B,B,D,B,A,76,11,293,144,Animal,1,english,12.87,1,0,0,female,sep,0,85440,1,44309,592584
6595031,Fiction,Adventure,sci-fi,A,C,E,A,B,76,11,287,85,Animal|Landscape,0,english,65.34,1,0,0,male,sep,0,120857,1,19830,3829
3402436,Non-Fiction,Scientific,NA,F,E,A,A,E,49,21,527,74,,0,english,18.56,2,0,0,,jun,0,10000,1,46531,95942
9354858,Fiction,Fantasy,patriotic,C,E,B,D,A,63,13,310,118,,0,english,44.99,1,0,0,female,aug,0,55725,1,42802,129131
6868017,Non-Fiction,History,academic,D,F,B,A,E,50,19,469,62,,0,english,25.81,3,0,0,,jun,0,26804,1,18208,81412
5383969,Children,Picture Books,magic,A,A,E,F,B,63,NA,25,63,Illustration,0,english,91.18,1,0,0,,may,0,34791,1,45104,49551
3488395,Fiction,Adventure,future,C,A,D,B,A,73,8,203,194,,0,english|spanish,53.5,1,0,0,male,dec,0,90610,1,51089,404787
2957002,Children,Picture Books,NA,A,A,D,F,A,66,1,14,13,Person (photograph),0,english,100,1,0,0,,oct,1,22576,1,46656,172101
4999542,Non-Fiction,Reference,NA,E,E,A,A,E,49,17,430,68,,0,english,39.3,1,6,4148745,male,march,0,400000,1,50000,793490
1183406,Young Adult,Mystery,crime,F,C,E,B,B,50,10,227,73,,0,english|chinese,46.89,2,0,0,,march,0,5000,1,45042,383591
5659527,Non-Fiction,Reference,NA,C,F,B,A,E,54,25,574,46,Person (photograph),3,english,16.88,3,2,1397177,,oct,0,155893,1,52330,282316
7434396,Non-Fiction,Reference,NA,D,E,A,A,E,57,16,459,68,,0,english,28.88,1,0,0,male,oct,0,86374,1,44618,420273
6112347,Fiction,Science Fiction,contemporary,D,D,C,D,A,64,12,305,133,,1,english,17.12,1,0,0,male,may,0,82489,1,18246,92305
1580342,Fiction,Romance,NA,C,C,C,C,D,56,22,578,49,Abstract art,1,english,40.55,1,0,0,,dec,0,33077,1,46037,124339
6336543,Non-Fiction,Scientific,academic,D,F,A,A,D,66,19,491,92,,0,english,25.18,1,2,2473533,male,nov,0,284868,1,45853,559029
5516258,Fiction,Mystery,easy_reading,B,C,B,E,D,56,11,262,127,,0,english,30.82,1,0,0,male,oct,0,90441,1,53464,401208
6731648,Fiction,Historical Fiction,NA,D,B,B,C,B,65,25,592,77,Animal,1,english,41.37,1,0,0,male,sep,0,82715,1,40449,158214
6575519,Fiction,Romance,foreign,D,B,C,D,A,68,19,457,126,,0,english,47.21,1,0,0,male,oct,0,122546,1,68536,428950
3911094,Fiction,Humor,easy_reading,A,C,E,B,A,80,12,335,67,Person (photograph),0,english,60.61,1,0,0,male,feb,0,134393,1,45211,200603
2426182,Fiction,Fantasy,future,C,D,D,A,B,59,18,418,47,,1,english,58.9,1,1,148167,male,aug,0,175235,1,68598,700706
7566203,Fiction,Science Fiction,NA,C,C,F,B,A,62,17,388,45,,0,english,5.65,1,4,590793,female,apr,0,152358,1,25293,173114
4343754,Fiction,Humor,future,B,B,B,D,E,65,3,53,62,Animal,1,english,73.84,1,0,0,male,dec,0,84132,1,49483,391489
7666594,Fiction,Science Fiction,sci-fi,A,E,D,A,A,80,32,760,40,,0,english,22.8,1,9,2559827,male,feb,0,480533,1,32249,549873
8508805,Fiction,Science Fiction,crime,B,B,C,D,B,66,22,458,181,,1,english,49.47,2,0,0,,jan,0,11870,1,41411,295994
8378820,Fiction,Mystery,NA,A,B,F,C,B,62,10,286,65,,1,english|chinese,36.35,1,0,0,male,march,0,85763,1,47841,408412
5997371,Children,Rythmic,dinosaur,B,A,F,F,D,49,2,19,9,Animal,1,english,88.55,1,5,764433,female,sep,0,129085,1,36161,237709
7880229,Fiction,Romance,crime,B,C,D,D,B,69,6,148,56,Landscape,0,english,54.93,1,0,0,male,jul,0,71616,1,45440,432213
7196725,Young Adult,Adventure,political,D,C,E,D,C,50,5,123,44,Animal,1,english,90.67,1,1,238812,female,aug,0,75238,1,47220,93815
5564972,Fiction,Science Fiction,NA,C,C,F,B,B,51,23,595,124,Animal,0,english,34.92,1,1,226481,,march,1,80072,1,21240,299900
9178029,Non-Fiction,Text-Book,academic,E,F,A,B,D,51,21,503,57,Scientific|Landscape,0,english,31.16,1,2,295636,,oct,0,47680,1,42219,168845
4619531,Fiction,Humor,crime,D,C,E,A,A,55,20,442,144,Landscape,1,english,49.11,1,1,231810,,dec,0,76612,1,77192,398172
2399870,Children,Fairytales/Folklore,learning,A,A,F,E,C,56,3,37,4,Illustration,1,english,93.5,1,0,0,male,jan,0,58675,1,48936,112039
3849172,Fiction,Horror,easy_reading,B,B,D,B,B,65,5,107,135,Animal,5,english,69.02,3,4,690651,,jul,1,204039,1,48431,593188
3495445,Non-Fiction,Scientific,academic,D,F,B,A,E,54,20,425,127,Landscape,0,english,28.5,5,4,1691509,,jan,0,179384,1,50382,468159
7819935,Fiction,Humor,magic,C,C,E,C,B,58,17,385,154,,0,english,51.3,1,1,179513,male,feb,0,147863,1,44769,388692
6410382,Non-Fiction,Reference,NA,C,F,A,A,E,68,17,417,103,Animal,1,english|chinese,40.49,1,1,195878,female,dec,0,96997,1,49529,200654
6150578,Young Adult,Mystery,crime,E,C,F,B,A,58,8,190,83,Animal,0,english,38.8,1,0,0,female,dec,0,53641,1,61113,91209
6146017,Fiction,Humor,sea,B,C,E,C,C,59,11,272,115,,0,english,18.31,1,0,0,male,may,0,102101,1,51286,209660
8455004,Non-Fiction,Instructional,NA,D,F,A,A,F,49,20,479,109,Scientific,1,english,20.75,1,0,0,female,nov,0,35491,1,55455,407713
5053168,Young Adult,Science Fiction,political,D,C,E,D,A,55,NA,253,29,Animal,1,english,49.29,3,0,0,,may,0,5000,1,53232,334026
6367664,Non-Fiction,Reference,NA,E,E,A,B,E,61,13,389,105,Scientific|Landscape,0,english,18.06,2,9,2699068,,dec,0,158352,1,42304,650070
2404703,Non-Fiction,Reference,NA,E,F,A,A,D,62,15,390,42,,0,english,47.48,1,0,0,female,jul,0,66801,1,54550,404455
5937078,Fiction,Humor,contemporary,D,C,D,C,B,52,18,431,120,Animal|Landscape,0,english|spanish,44.67,3,0,0,,aug,0,5000,1,61429,398867
8229731,Fiction,Science Fiction,magic,D,D,E,C,B,50,15,319,182,,0,english,12.1,1,0,0,male,feb,1,86885,1,43950,492964
7857096,Fiction,Science Fiction,sci-fi,D,A,D,C,B,73,14,315,139,Scientific,0,english,16.4,1,0,0,,may,1,12360,1,22426,98438
4575293,Non-Fiction,History,easy_reading,D,F,A,A,D,52,15,301,83,Landscape,0,english,57,2,1,64712,,oct,0,10000,1,32145,54717
5213656,Fiction,Historical Fiction,sea,E,C,B,C,C,53,8,201,66,,1,english,63.55,1,3,489535,,aug,0,48967,1,43831,438978
4415571,Children,Fairytales/Folklore,learning,A,A,F,F,C,59,NA,25,62,Scientific,1,english,92.97,1,0,0,,jun,0,14173,1,30811,1680
1986201,Young Adult,Graphic Novel,patriotic,E,C,E,D,B,49,9,210,35,,0,english|chinese,44.67,1,1,124453,,feb,0,14584,1,48553,25428
3726769,Fiction,Historical Fiction,crime,C,C,F,A,B,66,13,328,143,Animal,1,english,26.68,2,1,169318,,sep,0,34774,1,26002,233740
8906626,Fiction,Historical Fiction,NA,E,C,E,C,B,51,29,801,97,,0,english|spanish|chinese,25.71,1,1,58447,male,sep,0,101948,1,41912,262075
